證券代碼	簡稱	年月	收盤價(元)_月	報酬率％_月	報酬率-Ln_月
Y9999  	加權指數     	199001	12054.35	  25.2507	  22.5147
Y9999  	加權指數     	199002	11661.73	  -3.2571	  -3.3113
Y9999  	加權指數     	199003	10755.87	  -7.7678	  -8.0861
Y9999  	加權指數     	199004	 9292.37	 -13.6065	 -14.6258
Y9999  	加權指數     	199005	 7290.88	 -21.5391	 -24.2569
Y9999  	加權指數     	199006	 5049.58	 -30.7411	 -36.7319
Y9999  	加權指數     	199007	 5618.21	  11.2609	  10.6708
Y9999  	加權指數     	199008	 3635.28	 -35.2947	 -43.5327
Y9999  	加權指數     	199009	 2705.01	 -25.5901	 -29.5581
Y9999  	加權指數     	199010	 3318.53	  22.6809	  20.4416
Y9999  	加權指數     	199011	 4377.27	  31.9039	  27.6903
Y9999  	加權指數     	199012	 4530.16	   3.4928	   3.4332
Y9999  	加權指數     	199101	 4023.72	 -11.1793	 -11.8550
Y9999  	加權指數     	199102	 5033.37	  25.0925	  22.3883
Y9999  	加權指數     	199103	 5139.94	   2.1173	   2.0952
Y9999  	加權指數     	199104	 5921.29	  15.2015	  14.1513
Y9999  	加權指數     	199105	 5610.72	  -5.2450	  -5.3875
Y9999  	加權指數     	199106	 5768.08	   2.8046	   2.7660
Y9999  	加權指數     	199107	 5178.06	 -10.2291	 -10.7909
Y9999  	加權指數     	199108	 4505.67	 -12.9854	 -13.9094
Y9999  	加權指數     	199109	 4867.13	   8.0223	   7.7168
Y9999  	加權指數     	199110	 4389.86	  -9.8060	 -10.3207
Y9999  	加權指數     	199111	 4378.50	  -0.2588	  -0.2591
Y9999  	加權指數     	199112	 4600.67	   5.0741	   4.9496
Y9999  	加權指數     	199201	 5391.63	  17.1923	  15.8646
Y9999  	加權指數     	199202	 5142.42	  -4.6222	  -4.7324
Y9999  	加權指數     	199203	 4800.94	  -6.6405	  -6.8712
Y9999  	加權指數     	199204	 4496.19	  -6.3477	  -6.5581
Y9999  	加權指數     	199205	 4496.58	   0.0087	   0.0087
Y9999  	加權指數     	199206	 4523.81	   0.6056	   0.6037
Y9999  	加權指數     	199207	 4108.52	  -9.1801	  -9.6292
Y9999  	加權指數     	199208	 3946.35	  -3.9472	  -4.0272
Y9999  	加權指數     	199209	 3524.21	 -10.6970	 -11.3135
Y9999  	加權指數     	199210	 3631.73	   3.0509	   3.0053
Y9999  	加權指數     	199211	 3675.01	   1.1917	   1.1847
Y9999  	加權指數     	199212	 3377.06	  -8.1075	  -8.4550
Y9999  	加權指數     	199301	 3374.56	  -0.0740	  -0.0741
Y9999  	加權指數     	199302	 4384.67	  29.9331	  26.1849
Y9999  	加權指數     	199303	 4825.29	  10.0491	   9.5756
Y9999  	加權指數     	199304	 4563.52	  -5.4250	  -5.5777
Y9999  	加權指數     	199305	 4267.90	  -6.4779	  -6.6972
Y9999  	加權指數     	199306	 3995.51	  -6.3823	  -6.5951
Y9999  	加權指數     	199307	 3960.38	  -0.8792	  -0.8831
Y9999  	加權指數     	199308	 3892.04	  -1.7256	  -1.7407
Y9999  	加權指數     	199309	 3832.69	  -1.5249	  -1.5367
Y9999  	加權指數     	199310	 4131.68	   7.8010	   7.5117
Y9999  	加權指數     	199311	 4353.90	   5.3784	   5.2388
Y9999  	加權指數     	199312	 6070.56	  39.4281	  33.2379
Y9999  	加權指數     	199401	 6115.12	   0.7340	   0.7314
Y9999  	加權指數     	199402	 5414.64	 -11.4549	 -12.1658
Y9999  	加權指數     	199403	 5249.22	  -3.0551	  -3.1027
Y9999  	加權指數     	199404	 5737.33	   9.2987	   8.8914
Y9999  	加權指數     	199405	 5891.56	   2.6882	   2.6527
Y9999  	加權指數     	199406	 5932.60	   0.6966	   0.6942
Y9999  	加權指數     	199407	 6720.05	  13.2733	  12.4633
Y9999  	加權指數     	199408	 7008.11	   4.2866	   4.1972
Y9999  	加權指數     	199409	 7091.13	   1.1846	   1.1777
Y9999  	加權指數     	199410	 6526.47	  -7.9629	  -8.2978
Y9999  	加權指數     	199411	 6363.72	  -2.4937	  -2.5253
Y9999  	加權指數     	199412	 7124.66	  11.9575	  11.2949
Y9999  	加權指數     	199501	 6307.85	 -11.4645	 -12.1767
Y9999  	加權指數     	199502	 6509.33	   3.1941	   3.1442
Y9999  	加權指數     	199503	 6524.00	   0.2254	   0.2251
Y9999  	加權指數     	199504	 5803.78	 -11.0395	 -11.6978
Y9999  	加權指數     	199505	 5674.55	  -2.2267	  -2.2518
Y9999  	加權指數     	199506	 5444.97	  -4.0458	  -4.1299
Y9999  	加權指數     	199507	 5180.42	  -4.8586	  -4.9806
Y9999  	加權指數     	199508	 4809.93	  -7.1517	  -7.4204
Y9999  	加權指數     	199509	 5033.06	   4.6389	   4.5346
Y9999  	加權指數     	199510	 4817.04	  -4.2920	  -4.3869
Y9999  	加權指數     	199511	 4777.20	  -0.8271	  -0.8305
Y9999  	加權指數     	199512	 5173.73	   8.3005	   7.9739
Y9999  	加權指數     	199601	 4763.40	  -7.9310	  -8.2632
Y9999  	加權指數     	199602	 4797.67	   0.7194	   0.7169
Y9999  	加權指數     	199603	 5032.35	   4.8915	   4.7757
Y9999  	加權指數     	199604	 6134.28	  21.8969	  19.8006
Y9999  	加權指數     	199605	 5966.82	  -2.7299	  -2.7679
Y9999  	加權指數     	199606	 6560.41	   9.9482	   9.4839
Y9999  	加權指數     	199607	 6106.97	  -6.9118	  -7.1622
Y9999  	加權指數     	199608	 6324.60	   3.5636	   3.5016
Y9999  	加權指數     	199609	 6504.68	   2.8473	   2.8075
Y9999  	加權指數     	199610	 6426.09	  -1.2082	  -1.2156
Y9999  	加權指數     	199611	 6826.06	   6.2242	   6.0381
Y9999  	加權指數     	199612	 6933.94	   1.5804	   1.5681
Y9999  	加權指數     	199701	 7283.40	   5.0398	   4.9170
Y9999  	加權指數     	199702	 7875.32	   8.1270	   7.8136
Y9999  	加權指數     	199703	 8004.20	   1.6365	   1.6233
Y9999  	加權指數     	199704	 8485.66	   6.0151	   5.8411
Y9999  	加權指數     	199705	 8163.11	  -3.8011	  -3.8752
Y9999  	加權指數     	199706	 9030.28	  10.6230	  10.0958
Y9999  	加權指數     	199707	10066.35	  11.4733	  10.8615
Y9999  	加權指數     	199708	 9756.47	  -3.0784	  -3.1268
Y9999  	加權指數     	199709	 8708.83	 -10.7379	 -11.3593
Y9999  	加權指數     	199710	 7313.40	 -16.0232	 -17.4629
Y9999  	加權指數     	199711	 7797.19	   6.6151	   6.4055
Y9999  	加權指數     	199712	 8187.27	   5.0028	   4.8817
Y9999  	加權指數     	199801	 8085.47	  -1.2434	  -1.2512
Y9999  	加權指數     	199802	 9202.56	  13.8160	  12.9413
Y9999  	加權指數     	199803	 9091.16	  -1.2105	  -1.2179
Y9999  	加權指數     	199804	 8304.21	  -8.6562	  -9.0540
Y9999  	加權指數     	199805	 7903.34	  -4.8273	  -4.9477
Y9999  	加權指數     	199806	 7548.81	  -4.4858	  -4.5896
Y9999  	加權指數     	199807	 7653.51	   1.3870	   1.3774
Y9999  	加權指數     	199808	 6550.11	 -14.4169	 -15.5683
Y9999  	加權指數     	199809	 6833.95	   4.3334	   4.2421
Y9999  	加權指數     	199810	 7165.98	   4.8585	   4.7442
Y9999  	加權指數     	199811	 7177.22	   0.1569	   0.1567
Y9999  	加權指數     	199812	 6418.43	 -10.5722	 -11.1739
Y9999  	加權指數     	199901	 5998.32	  -6.5454	  -6.7694
Y9999  	加權指數     	199902	 6318.52	   5.3382	   5.2006
Y9999  	加權指數     	199903	 6881.72	   8.9135	   8.5384
Y9999  	加權指數     	199904	 7371.17	   7.1123	   6.8708
Y9999  	加權指數     	199905	 7316.57	  -0.7407	  -0.7435
Y9999  	加權指數     	199906	 8467.37	  15.7287	  14.6078
Y9999  	加權指數     	199907	 7326.75	 -13.4708	 -14.4688
Y9999  	加權指數     	199908	 8157.73	  11.3417	  10.7434
Y9999  	加權指數     	199909	 7598.79	  -6.8517	  -7.0977
Y9999  	加權指數     	199910	 7854.85	   3.3697	   3.3142
Y9999  	加權指數     	199911	 7720.87	  -1.7057	  -1.7204
Y9999  	加權指數     	199912	 8448.84	   9.4286	   9.0102
Y9999  	加權指數     	200001	 9744.89	  15.3400	  14.2714
Y9999  	加權指數     	200002	 9435.94	  -3.1704	  -3.2217
Y9999  	加權指數     	200003	 9854.95	   4.4406	   4.3448
Y9999  	加權指數     	200004	 8777.35	 -10.9346	 -11.5799
Y9999  	加權指數     	200005	 8939.52	   1.8476	   1.8307
Y9999  	加權指數     	200006	 8265.09	  -7.5444	  -7.8441
Y9999  	加權指數     	200007	 8114.92	  -1.8169	  -1.8336
Y9999  	加權指數     	200008	 7616.98	  -6.1361	  -6.3324
Y9999  	加權指數     	200009	 6185.14	 -18.7980	 -20.8230
Y9999  	加權指數     	200010	 5544.18	 -10.3629	 -10.9401
Y9999  	加權指數     	200011	 5256.93	  -5.1811	  -5.3202
Y9999  	加權指數     	200012	 4739.09	  -9.8506	 -10.3702
Y9999  	加權指數     	200101	 5936.20	  25.2603	  22.5224
Y9999  	加權指數     	200102	 5674.69	  -4.4053	  -4.5053
